Project,Package,Class,Smell,Description,File
fesod,org.apache.fesod.common.util,IntUtils,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: MAX_POWER_OF_TWO,/data/henrique/langchain_prototype/ArchAgent/data/repositories/fesod/fesod-common/src/main/java/org/apache/fesod/common/util/IntUtils.java
fesod,org.apache.fesod.common.util,IoUtils,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: EOF; DEFAULT_BUFFER_SIZE,/data/henrique/langchain_prototype/ArchAgent/data/repositories/fesod/fesod-common/src/main/java/org/apache/fesod/common/util/IoUtils.java
fesod,org.apache.fesod.common.util,StringUtils,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: SPACE; EMPTY,/data/henrique/langchain_prototype/ArchAgent/data/repositories/fesod/fesod-common/src/main/java/org/apache/fesod/common/util/StringUtils.java
fesod,org.apache.fesod.common.util,StringUtilsTest.RunTest,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation that indicates that the abstraction might not be required. Following fields are declared in this class: ,/data/henrique/langchain_prototype/ArchAgent/data/repositories/fesod/fesod-common/src/test/java/org/apache/fesod/common/util/StringUtilsTest.java
fesod,org.apache.fesod.common.util,StringUtilsTest.RunTest,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),/data/henrique/langchain_prototype/ArchAgent/data/repositories/fesod/fesod-common/src/test/java/org/apache/fesod/common/util/StringUtilsTest.java
fesod,org.apache.fesod.common.util,StringUtilsTest.TestData,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),/data/henrique/langchain_prototype/ArchAgent/data/repositories/fesod/fesod-common/src/test/java/org/apache/fesod/common/util/StringUtilsTest.java
fesod,org.apache.fesod.common.util,StringUtilsTest.TestData,Broken Modularization,The tool detected the smell in this class because it contains only data members without any method implementation. Following fields are declared in this class: source; ignoreCase; toffset; other; ooffset; len; expected; throwable,/data/henrique/langchain_prototype/ArchAgent/data/repositories/fesod/fesod-common/src/test/java/org/apache/fesod/common/util/StringUtilsTest.java
fesod,org.apache.fesod.common.util,MemberUtilsTest.TestPublicClass,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation that indicates that the abstraction might not be required. Following fields are declared in this class: ,/data/henrique/langchain_prototype/ArchAgent/data/repositories/fesod/fesod-common/src/test/java/org/apache/fesod/common/util/MemberUtilsTest.java
fesod,org.apache.fesod.common.util,MemberUtilsTest.TestPublicClass,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),/data/henrique/langchain_prototype/ArchAgent/data/repositories/fesod/fesod-common/src/test/java/org/apache/fesod/common/util/MemberUtilsTest.java
fesod,org.apache.fesod.common.util,MemberUtilsTest.TestPrivateClass,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation that indicates that the abstraction might not be required. Following fields are declared in this class: ,/data/henrique/langchain_prototype/ArchAgent/data/repositories/fesod/fesod-common/src/test/java/org/apache/fesod/common/util/MemberUtilsTest.java
fesod,org.apache.fesod.common.util,MemberUtilsTest.TestPrivateClass,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),/data/henrique/langchain_prototype/ArchAgent/data/repositories/fesod/fesod-common/src/test/java/org/apache/fesod/common/util/MemberUtilsTest.java
fesod,org.apache.fesod.sheet.analysis.v03,IgnorableXlsRecordHandler,Wide Hierarchy,The tool detected the smell in this class because the number of children for the class is large. This class has following sub-classes: LabelSstRecordHandler; SstRecordHandler; HyperlinkRecordHandler; FormulaRecordHandler; NumberRecordHandler; StringRecordHandler; BoundSheetRecordHandler; LabelRecordHandler; BlankRecordHandler; IndexRecordHandler; ObjRecordHandler; RkRecordHandler; BoolErrRecordHandler; TextObjectRecordHandler; DummyRecordHandler; MergeCellsRecordHandler; NoteRecordHandler; DateWindow1904RecordHandler,/data/henrique/langchain_prototype/ArchAgent/data/repositories/fesod/fesod-sheet/src/main/java/org/apache/fesod/sheet/analysis/v03/IgnorableXlsRecordHandler.java
fesod,org.apache.fesod.sheet.analysis.v03,XlsListSheetListener,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),/data/henrique/langchain_prototype/ArchAgent/data/repositories/fesod/fesod-sheet/src/main/java/org/apache/fesod/sheet/analysis/v03/XlsListSheetListener.java
fesod,org.apache.fesod.sheet.analysis.v03.handlers,LabelSstRecordHandler,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),/data/henrique/langchain_prototype/ArchAgent/data/repositories/fesod/fesod-sheet/src/main/java/org/apache/fesod/sheet/analysis/v03/handlers/LabelSstRecordHandler.java
fesod,org.apache.fesod.sheet.analysis.v03.handlers,LabelSstRecordHandler,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): AbstractXlsRecordHandler; IgnorableXlsRecordHandler,/data/henrique/langchain_prototype/ArchAgent/data/repositories/fesod/fesod-sheet/src/main/java/org/apache/fesod/sheet/analysis/v03/handlers/LabelSstRecordHandler.java
fesod,org.apache.fesod.sheet.analysis.v03.handlers,SstRecordHandler,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),/data/henrique/langchain_prototype/ArchAgent/data/repositories/fesod/fesod-sheet/src/main/java/org/apache/fesod/sheet/analysis/v03/handlers/SstRecordHandler.java
fesod,org.apache.fesod.sheet.analysis.v03.handlers,SstRecordHandler,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): AbstractXlsRecordHandler; IgnorableXlsRecordHandler,/data/henrique/langchain_prototype/ArchAgent/data/repositories/fesod/fesod-sheet/src/main/java/org/apache/fesod/sheet/analysis/v03/handlers/SstRecordHandler.java
fesod,org.apache.fesod.sheet.analysis.v03.handlers,HyperlinkRecordHandler,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),/data/henrique/langchain_prototype/ArchAgent/data/repositories/fesod/fesod-sheet/src/main/java/org/apache/fesod/sheet/analysis/v03/handlers/HyperlinkRecordHandler.java
fesod,org.apache.fesod.sheet.analysis.v03.handlers,HyperlinkRecordHandler,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): AbstractXlsRecordHandler; IgnorableXlsRecordHandler,/data/henrique/langchain_prototype/ArchAgent/data/repositories/fesod/fesod-sheet/src/main/java/org/apache/fesod/sheet/analysis/v03/handlers/HyperlinkRecordHandler.java
fesod,org.apache.fesod.sheet.analysis.v03.handlers,FormulaRecordHandler,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),/data/henrique/langchain_prototype/ArchAgent/data/repositories/fesod/fesod-sheet/src/main/java/org/apache/fesod/sheet/analysis/v03/handlers/FormulaRecordHandler.java
fesod,org.apache.fesod.sheet.analysis.v03.handlers,FormulaRecordHandler,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): AbstractXlsRecordHandler; IgnorableXlsRecordHandler,/data/henrique/langchain_prototype/ArchAgent/data/repositories/fesod/fesod-sheet/src/main/java/org/apache/fesod/sheet/analysis/v03/handlers/FormulaRecordHandler.java
fesod,org.apache.fesod.sheet.analysis.v03.handlers,NumberRecordHandler,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),/data/henrique/langchain_prototype/ArchAgent/data/repositories/fesod/fesod-sheet/src/main/java/org/apache/fesod/sheet/analysis/v03/handlers/NumberRecordHandler.java
