Project,Package,Class,Method,Smell,Description,Method start line no,File
fesod,org.apache.fesod.common.util,PositionUtils,getCol,Magic Number,The method contains a magic number: 26,63,/data/henrique/langchain_prototype/ArchAgent/data/repositories/fesod/fesod-common/src/main/java/org/apache/fesod/common/util/PositionUtils.java
fesod,org.apache.fesod.common.util,ListUtils,newArrayList,Long Statement,The length of the statement "return (elements instanceof Collection) ? new ArrayList<>((Collection<? extends E>)elements) : newArrayList(elements.iterator());" is 129.,69,/data/henrique/langchain_prototype/ArchAgent/data/repositories/fesod/fesod-common/src/main/java/org/apache/fesod/common/util/ListUtils.java
fesod,org.apache.fesod.common.util,ListUtils,computeArrayListCapacity,Magic Number,The method contains a magic number: 5L,124,/data/henrique/langchain_prototype/ArchAgent/data/repositories/fesod/fesod-common/src/main/java/org/apache/fesod/common/util/ListUtils.java
fesod,org.apache.fesod.common.util,ListUtils,computeArrayListCapacity,Magic Number,The method contains a magic number: 10,124,/data/henrique/langchain_prototype/ArchAgent/data/repositories/fesod/fesod-common/src/main/java/org/apache/fesod/common/util/ListUtils.java
fesod,org.apache.fesod.common.util,MemberUtils,setAccessibleWorkaround,Complex Conditional,The conditional expression !o.isAccessible() && Modifier.isPublic(m.getModifiers()) && isPackageAccess(m.getDeclaringClass().getModifiers()) is complex.,30,/data/henrique/langchain_prototype/ArchAgent/data/repositories/fesod/fesod-common/src/main/java/org/apache/fesod/common/util/MemberUtils.java
fesod,org.apache.fesod.common.util,MemberUtils,setAccessibleWorkaround,Empty catch clause,The method has an empty catch block.,30,/data/henrique/langchain_prototype/ArchAgent/data/repositories/fesod/fesod-common/src/main/java/org/apache/fesod/common/util/MemberUtils.java
fesod,org.apache.fesod.common.util,StringUtils,regionMatches,Complex Conditional,The conditional expression thisStart < 0 || start < 0 || length < 0 is complex.,143,/data/henrique/langchain_prototype/ArchAgent/data/repositories/fesod/fesod-common/src/main/java/org/apache/fesod/common/util/StringUtils.java
fesod,org.apache.fesod.common.util,StringUtils,regionMatches,Complex Method,Cyclomatic complexity of the method is 8,143,/data/henrique/langchain_prototype/ArchAgent/data/repositories/fesod/fesod-common/src/main/java/org/apache/fesod/common/util/StringUtils.java
fesod,org.apache.fesod.common.util,StringUtils,regionMatches,Long Parameter List,The method has 6 parameters. ,143,/data/henrique/langchain_prototype/ArchAgent/data/repositories/fesod/fesod-common/src/main/java/org/apache/fesod/common/util/StringUtils.java
fesod,org.apache.fesod.common.util,StringUtils,isBlankChar,Long Statement,The length of the statement "return Character.isSpaceChar(ch) || Character.isWhitespace(ch) || ch == '\u202a' || ch == '\ufeff' || ch == '\u3164' || ch == '\u2800' || ch == '\u200c' || ch == '\u180e';" is 171.,287,/data/henrique/langchain_prototype/ArchAgent/data/repositories/fesod/fesod-common/src/main/java/org/apache/fesod/common/util/StringUtils.java
