Project,Package,Class,Smell,Description,File
fesod,org.apache.fesod.common.util,MemberUtilsTest.TestPublicClass,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.,/data/henrique/langchain_prototype/ArchAgent/data/repositories/fesod/fesod-common/src/test/java/org/apache/fesod/common/util/MemberUtilsTest.java
fesod,org.apache.fesod.sheet.analysis.v03,XlsSaxAnalyser,Law of Demeter violation,The tool detected the smell in this method (execute) because the method voilates the law of Demeter. The long chain of method invocations is : org.apache.fesod.sheet.read.processor.AnalysisEventProcessor.endSheet; org.apache.fesod.sheet.context.AnalysisContext.analysisEventProcessor,/data/henrique/langchain_prototype/ArchAgent/data/repositories/fesod/fesod-sheet/src/main/java/org/apache/fesod/sheet/analysis/v03/XlsSaxAnalyser.java
fesod,org.apache.fesod.sheet.analysis.v03,XlsSaxAnalyser,Law of Demeter violation,The tool detected the smell in this method (execute) because the method voilates the law of Demeter. The long chain of method invocations is : org.apache.fesod.sheet.read.processor.AnalysisEventProcessor.endSheet; org.apache.fesod.sheet.context.AnalysisContext.analysisEventProcessor,/data/henrique/langchain_prototype/ArchAgent/data/repositories/fesod/fesod-sheet/src/main/java/org/apache/fesod/sheet/analysis/v03/XlsSaxAnalyser.java
fesod,org.apache.fesod.sheet.analysis.v03,XlsSaxAnalyser,Law of Demeter violation,The tool detected the smell in this method (execute) because the method voilates the law of Demeter. The long chain of method invocations is : org.apache.fesod.sheet.read.processor.AnalysisEventProcessor.endSheet; org.apache.fesod.sheet.context.AnalysisContext.analysisEventProcessor,/data/henrique/langchain_prototype/ArchAgent/data/repositories/fesod/fesod-sheet/src/main/java/org/apache/fesod/sheet/analysis/v03/XlsSaxAnalyser.java
fesod,org.apache.fesod.sheet.analysis.v03.handlers,LabelSstRecordHandler,Law of Demeter violation,The tool detected the smell in this method (processRecord) because the method voilates the law of Demeter. The long chain of method invocations is : org.apache.fesod.sheet.context.AnalysisContext.currentReadHolder; org.apache.fesod.sheet.metadata.ConfigurationHolder.globalConfiguration,/data/henrique/langchain_prototype/ArchAgent/data/repositories/fesod/fesod-sheet/src/main/java/org/apache/fesod/sheet/analysis/v03/handlers/LabelSstRecordHandler.java
fesod,org.apache.fesod.sheet.analysis.v03.handlers,HyperlinkRecordHandler,Law of Demeter violation,The tool detected the smell in this method (processRecord) because the method voilates the law of Demeter. The long chain of method invocations is : org.apache.fesod.sheet.context.AnalysisContext.analysisEventProcessor; org.apache.fesod.sheet.read.processor.AnalysisEventProcessor.extra,/data/henrique/langchain_prototype/ArchAgent/data/repositories/fesod/fesod-sheet/src/main/java/org/apache/fesod/sheet/analysis/v03/handlers/HyperlinkRecordHandler.java
fesod,org.apache.fesod.sheet.analysis.v03.handlers,FormulaRecordHandler,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 8,/data/henrique/langchain_prototype/ArchAgent/data/repositories/fesod/fesod-sheet/src/main/java/org/apache/fesod/sheet/analysis/v03/handlers/FormulaRecordHandler.java
fesod,org.apache.fesod.sheet.analysis.v03.handlers,EofRecordHandler,Law of Demeter violation,The tool detected the smell in this method (processRecord) because the method voilates the law of Demeter. The long chain of method invocations is : org.apache.fesod.sheet.read.processor.AnalysisEventProcessor.endSheet; org.apache.fesod.sheet.context.AnalysisContext.analysisEventProcessor,/data/henrique/langchain_prototype/ArchAgent/data/repositories/fesod/fesod-sheet/src/main/java/org/apache/fesod/sheet/analysis/v03/handlers/EofRecordHandler.java
fesod,org.apache.fesod.sheet.analysis.v03.handlers,EofRecordHandler,Law of Demeter violation,The tool detected the smell in this method (processRecord) because the method voilates the law of Demeter. The long chain of method invocations is : org.apache.fesod.sheet.read.processor.AnalysisEventProcessor.endRow; org.apache.fesod.sheet.context.AnalysisContext.analysisEventProcessor,/data/henrique/langchain_prototype/ArchAgent/data/repositories/fesod/fesod-sheet/src/main/java/org/apache/fesod/sheet/analysis/v03/handlers/EofRecordHandler.java
fesod,org.apache.fesod.sheet.analysis.v03.handlers,EofRecordHandler,Law of Demeter violation,The tool detected the smell in this method (processRecord) because the method voilates the law of Demeter. The long chain of method invocations is : org.apache.fesod.sheet.read.processor.AnalysisEventProcessor.endSheet; org.apache.fesod.sheet.context.AnalysisContext.analysisEventProcessor,/data/henrique/langchain_prototype/ArchAgent/data/repositories/fesod/fesod-sheet/src/main/java/org/apache/fesod/sheet/analysis/v03/handlers/EofRecordHandler.java
