Project,Package,Class,Method,Smell,Description,File
fesod,org.apache.fesod.common.util,StringUtilsTest,test_isEmpty,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 5,/data/henrique/langchain_prototype/data/repositories/fesod/fesod-common/src/test/java/org/apache/fesod/common/util/StringUtilsTest.java
fesod,org.apache.fesod.common.util,StringUtilsTest,test_isBlank,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 5,/data/henrique/langchain_prototype/data/repositories/fesod/fesod-common/src/test/java/org/apache/fesod/common/util/StringUtilsTest.java
fesod,org.apache.fesod.common.util,StringUtilsTest,test_isNotBlank,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 5,/data/henrique/langchain_prototype/data/repositories/fesod/fesod-common/src/test/java/org/apache/fesod/common/util/StringUtilsTest.java
fesod,org.apache.fesod.common.util,StringUtilsTest,test_equals,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 5,/data/henrique/langchain_prototype/data/repositories/fesod/fesod-common/src/test/java/org/apache/fesod/common/util/StringUtilsTest.java
fesod,org.apache.fesod.common.util,StringUtilsTest,test_isNumeric,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 18,/data/henrique/langchain_prototype/data/repositories/fesod/fesod-common/src/test/java/org/apache/fesod/common/util/StringUtilsTest.java
fesod,org.apache.fesod.common.util,StringUtilsTest,test_regionMatches,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.,/data/henrique/langchain_prototype/data/repositories/fesod/fesod-common/src/test/java/org/apache/fesod/common/util/StringUtilsTest.java
fesod,org.apache.fesod.common.util,StringUtilsTest,stripTest,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 11,/data/henrique/langchain_prototype/data/repositories/fesod/fesod-common/src/test/java/org/apache/fesod/common/util/StringUtilsTest.java
fesod,org.apache.fesod.common.util,StringUtilsTest,isBlankCharTest,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 8,/data/henrique/langchain_prototype/data/repositories/fesod/fesod-common/src/test/java/org/apache/fesod/common/util/StringUtilsTest.java
fesod,org.apache.fesod.common.util,ValidateUtilsTest,test_isTrue_long,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3,/data/henrique/langchain_prototype/data/repositories/fesod/fesod-common/src/test/java/org/apache/fesod/common/util/ValidateUtilsTest.java
fesod,org.apache.fesod.common.util,ValidateUtilsTest,test_isTrue_double,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3,/data/henrique/langchain_prototype/data/repositories/fesod/fesod-common/src/test/java/org/apache/fesod/common/util/ValidateUtilsTest.java
fesod,org.apache.fesod.common.util,ValidateUtilsTest,test_isTrue_objects,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3,/data/henrique/langchain_prototype/data/repositories/fesod/fesod-common/src/test/java/org/apache/fesod/common/util/ValidateUtilsTest.java
fesod,org.apache.fesod.common.util,ValidateUtilsTest,test_isTrue,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3,/data/henrique/langchain_prototype/data/repositories/fesod/fesod-common/src/test/java/org/apache/fesod/common/util/ValidateUtilsTest.java
fesod,org.apache.fesod.common.util,ValidateUtilsTest,test_notNull,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3,/data/henrique/langchain_prototype/data/repositories/fesod/fesod-common/src/test/java/org/apache/fesod/common/util/ValidateUtilsTest.java
fesod,org.apache.fesod.common.util,ValidateUtilsTest,test_notNull_withMessage,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3,/data/henrique/langchain_prototype/data/repositories/fesod/fesod-common/src/test/java/org/apache/fesod/common/util/ValidateUtilsTest.java
fesod,org.apache.fesod.common.util,PositionUtilsTest,test_getRowByRowTag,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 4,/data/henrique/langchain_prototype/data/repositories/fesod/fesod-common/src/test/java/org/apache/fesod/common/util/PositionUtilsTest.java
fesod,org.apache.fesod.common.util,PositionUtilsTest,test_getRow,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 6,/data/henrique/langchain_prototype/data/repositories/fesod/fesod-common/src/test/java/org/apache/fesod/common/util/PositionUtilsTest.java
fesod,org.apache.fesod.common.util,PositionUtilsTest,test_getCol,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 9,/data/henrique/langchain_prototype/data/repositories/fesod/fesod-common/src/test/java/org/apache/fesod/common/util/PositionUtilsTest.java
fesod,org.apache.fesod.common.util,PositionUtilsTest,test_getCol_case_insensitivity,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2,/data/henrique/langchain_prototype/data/repositories/fesod/fesod-common/src/test/java/org/apache/fesod/common/util/PositionUtilsTest.java
fesod,org.apache.fesod.common.util,MemberUtilsTest,test_setAccessibleWorkaround_PackagePrivateClass_PublicMethod,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2,/data/henrique/langchain_prototype/data/repositories/fesod/fesod-common/src/test/java/org/apache/fesod/common/util/MemberUtilsTest.java
fesod,org.apache.fesod.common.util,MemberUtilsTest,test_isPackageAccess,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 7,/data/henrique/langchain_prototype/data/repositories/fesod/fesod-common/src/test/java/org/apache/fesod/common/util/MemberUtilsTest.java
fesod,org.apache.fesod.common.util,MapUtilsTest,test_newHashMap,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3,/data/henrique/langchain_prototype/data/repositories/fesod/fesod-common/src/test/java/org/apache/fesod/common/util/MapUtilsTest.java
fesod,org.apache.fesod.common.util,MapUtilsTest,test_newTreeMap,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3,/data/henrique/langchain_prototype/data/repositories/fesod/fesod-common/src/test/java/org/apache/fesod/common/util/MapUtilsTest.java
fesod,org.apache.fesod.common.util,MapUtilsTest,test_newLinkedHashMap,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3,/data/henrique/langchain_prototype/data/repositories/fesod/fesod-common/src/test/java/org/apache/fesod/common/util/MapUtilsTest.java
fesod,org.apache.fesod.common.util,MapUtilsTest,test_newHashMapWithExpectedSize,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2,/data/henrique/langchain_prototype/data/repositories/fesod/fesod-common/src/test/java/org/apache/fesod/common/util/MapUtilsTest.java
